2023-02-05 09:38:12, INFO: Using device: cuda:1
2023-02-05 09:38:12, INFO: Policy: SARL w/ global state
2023-02-05 09:38:16, INFO: human number: 5
2023-02-05 09:38:16, INFO: Randomize human's radius and preferred speed
2023-02-05 09:38:16, INFO: Training simulation: circle_crossing, test simulation: circle_crossing
2023-02-05 09:38:16, INFO: Square width: 10.0, circle width: 4.0
2023-02-05 09:38:16, INFO: Current learning rate: 0.010000
2023-02-05 09:41:36, INFO: TRAIN has success rate: 0.94, collision rate: 0.05, nav time: 10.87, total reward: 0.2921
2023-02-05 09:46:04, INFO: Finish imitation learning. Weights saved.
2023-02-05 09:46:04, INFO: Experience set size: 100000/100000
2023-02-05 09:46:04, INFO: Agent is invisible and has holonomic kinematic constraint
2023-02-05 09:46:04, INFO: Current learning rate: 0.001000
2023-02-05 09:59:47, INFO: VAL   in episode 0 has success rate: 0.93, collision rate: 0.07, nav time: 8.98, total reward: 0.2845
2023-02-05 09:59:47, INFO: Frequency of being in danger: 0.23 and average min separate distance in danger: 0.08
2023-02-05 09:59:52, INFO: TRAIN in episode 0 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1573
2023-02-05 10:00:04, INFO: TRAIN in episode 1 has success rate: 1.00, collision rate: 0.00, nav time: 15.75, total reward: 0.1221
2023-02-05 10:00:12, INFO: TRAIN in episode 2 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.2430
2023-02-05 10:00:24, INFO: TRAIN in episode 3 has success rate: 1.00, collision rate: 0.00, nav time: 17.50, total reward: 0.1467
2023-02-05 10:00:30, INFO: TRAIN in episode 4 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1431
2023-02-05 10:00:36, INFO: TRAIN in episode 5 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1507
2023-02-05 10:00:46, INFO: TRAIN in episode 6 has success rate: 1.00, collision rate: 0.00, nav time: 14.75, total reward: 0.2170
2023-02-05 10:00:54, INFO: TRAIN in episode 7 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.0971
